Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
smsp__inst_executed_op_generic_atom_dot_alu_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: ATOM.ALU, ATOMG.ALU (non-CAS) 
smsp__inst_executed_op_surface_atom                                         # of warp instructions executed: SUATOM.*                                                           
dram__cycles_active                                                         # of cycles where DRAM was active                                                                   
lts__t_sectors_aperture_sysmem                                              # of LTS sectors accessing system memory (sysmem)                                                   
lts__t_sectors_srcunit_l1_op_write_lookup_hit                               # of LTS sectors from unit L1 for writes that hit                                                   
sm__thread_inst_executed_pred_on_realtime                                   # of thread instructions executed                                                                   
sm__pipe_tensor_cycles_active                                               # of cycles where tensor pipe was active                                                            
l1tex__t_sectors_pipe_tex                                                   # of sectors requested for TEX pipe                                                                 
lts__t_sectors_op_atom                                                      # of LTS sectors for all atomics                                                                    
lts__t_sectors_srcunit_l1_aperture_device_lookup_miss                       # of LTS sectors from unit L1 accessing device memory (vidmem) that missed                          
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for surface loads                                       
lts__t_requests_aperture_peer_op_atom_dot_cas                               # of LTS requests accessing peer memory (peermem) for atomic CAS                                    
lts__t_requests_op_membar                                                   # of LTS requests for memory barriers                                                               
sm__warps_active_realtime                                                   cumulative # of warps in flight                                                                     
sm__cycles_active_shader_cs                                                 # of cycles where CS warps were resident                                                            
smsp__inst_executed_op_surface_atom_pred_on_any                             # of warp instructions executed with at least 1 thread predicated on: SUATOM.*                      
lts__t_sectors_srcunit_l1_op_atom_dot_cas                                   # of LTS sectors from unit L1 for atomic CAS                                                        
l1tex__data_bank_conflicts_pipe_lsu_mem_global                              # of data bank conflicts generated by global ops                                                    
lts__t_sectors_srcunit_l1_aperture_device_op_write                          # of LTS sectors from unit L1 accessing device memory (vidmem) for writes                           
sm__cycles_active                                                           # of cycles with at least one warp in flight                                                        
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa                           # of IPA wavefronts processed by Data-Stage                                                         
lts__t_sectors_srcunit_tex_op_atom_dot_cas                                  # of LTS sectors from unit TEX for atomic CAS                                                       
lts__t_sectors_aperture_peer_op_read                                        # of LTS sectors accessing peer memory (peermem) for reads                                          
lts__t_requests_op_atom_dot_alu                                             # of LTS requests for atomic ALU (non-CAS)                                                          
lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_hit             # of LTS requests from unit TEX accessing device memory (vidmem) for writes that hit                
smsp__inst_executed_op_surface_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SULD                          
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_miss                       # of bytes requested that missed for surface loads                                                  
gpu__cycles_elapsed                                                         # of cycles elapsed on GPU                                                                          
lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_miss              # of LTS requests from unit TEX accessing system memory (sysmem) for reductions that missed         
smsp__sass_inst_executed_op_memory_128b                                     # of warp instructions executed by memory instructions with width 128 bit                           
smsp__inst_executed_op_generic_atom_dot_alu                                 # of warp instructions executed: ATOM.ALU, ATOMG.ALU (non-CAS)                                      
lts__t_requests_srcunit_tex_op_membar_lookup_miss                           # of LTS requests from unit TEX for memory barriers that missed                                     
smsp__inst_executed_pipe_tensor_op_imma                                     # of warp instructions executed by tensor_op_imma pipe                                              
smsp__pipe_tensor_op_hmma_cycles_active                                     # of cycles where HMMA tensor pipe was active                                                       
lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_miss              # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that missed      
lts__t_sectors_op_atom_dot_alu_lookup_hit                                   # of LTS sectors for atomic ALU (non-CAS) that hit                                                  
lts__t_sectors_op_write_lookup_hit                                          # of LTS sectors for writes that hit                                                                
l1tex__texin_requests_mem_surface_op_st                                     # of requests sent to TEXIN for surface store instructions (SUST)                                   
smsp__sass_thread_inst_executed_op_integer_pred_on                          # of integer thread instructions executed where all predicates were true                            
l1tex__data_pipe_tex_wavefronts_realtime                                    # of texture + surface read wavefronts processed by Data-Stage                                      
lts__t_requests_srcunit_l1_aperture_sysmem_op_write                         # of LTS requests from unit L1 accessing system memory (sysmem) for writes                          
fe__cycles_in_frame                                                         # of cycles in user-defined frame                                                                   
smsp__inst_executed_op_surface_atom_dot_alu_pred_off_all                    # of warp instructions executed with all threads predicated off: SUATOM.ALU (non-CAS)               
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_miss                       # of LTS sectors from unit L1 for atomic CAS that missed                                            
lts__t_requests_aperture_device_lookup_hit                                  # of LTS requests accessing device memory (vidmem) that hit                                         
lts__t_sectors_srcunit_tex_aperture_sysmem                                  # of LTS sectors from unit TEX accessing system memory (sysmem)                                     
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss                     # of sector requests to T-Stage that missed for surface stores                                      
smsp__sass_inst_executed_op_local                                           # of warp instructions executed: LDL, LD, STL, ST                                                   
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_hit              # of LTS requests from unit TEX accessing device memory (vidmem) for reads that hit                 
lts__d_atomic_input_cycles_active                                           # of cycles where the atomic unit's input was active                                                
lts__t_requests_srcunit_l1_aperture_peer                                    # of LTS requests from unit L1 accessing peer memory (peermem)                                      
smsp__warps_issue_stalled_wait                                              cumulative # of warps waiting on a fixed latency execution dependency                               
tpc__warp_launch_cycles_stalled_shader_cs_reason_barrier_allocation         # of cycles where CS warp launch was stalled due to barrier allocation (non-exclusively)            
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_red                   # of sectors requested for global reductions                                                        
lts__t_sectors_op_red_lookup_hit                                            # of LTS sectors for reductions that hit                                                            
lts__t_sectors_aperture_device_op_atom_dot_alu                              # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS)                          
smsp__inst_executed_op_surface_atom_pred_off_all                            # of warp instructions executed with all threads predicated off: SUATOM.*                           
gpu__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.CAS                          
lts__t_requests_srcunit_l1_op_membar_lookup_hit                             # of LTS requests from unit L1 for memory barriers that hit                                         
sm__idc_divergent_instructions                                              # of instructions sent to IDC that had address divergence                                           
lts__t_requests_srcunit_l1_aperture_device                                  # of LTS requests from unit L1 accessing device memory (vidmem)                                     
smsp__inst_executed_op_shared_st                                            # of warp instructions executed: STS                                                                
l1tex__m_l1tex2xbar_write_bytes                                             # of bytes written to L2# of sectors written to L2                                                  
lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_miss            # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that missed     
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_red                 # of bytes requested for surface reductions                                                         
l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss                             # of bytes requested that missed for surface                                                        
lts__t_requests_srcunit_l1_op_red_lookup_hit                                # of LTS requests from unit L1 for reductions that hit                                              
lts__t_sectors_aperture_device_op_red_lookup_miss                           # of LTS sectors accessing device memory (vidmem) for reductions that missed                        
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_hit                     # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that hit                  
lts__t_requests_srcunit_tex_aperture_device_op_red                          # of LTS requests from unit TEX accessing device memory (vidmem) for reductions                     
l1tex__t_bytes_pipe_tex_mem_surface_op_red                                  # of bytes requested for surface reductions                                                         
smsp__inst_executed_op_generic_atom_pred_on_any                             # of warp instructions executed with at least 1 thread predicated on: ATOM.*                        
lts__t_sectors_srcunit_tex_op_read_lookup_miss                              # of LTS sectors from unit TEX for reads that missed                                                
smsp__inst_issued                                                           # of warp instructions issued                                                                       
smsp__warps_issue_stalled_drain                                             cumulative # of warps waiting after EXIT for all memory instructions to complete so that warp       
                                                                            resources can be freed                                                                              
sm__inst_executed_pipe_fp64                                                 # of warp instructions executed by fp64 pipe                                                        
lts__t_requests_srcunit_l1_op_write                                         # of LTS requests from unit L1 for writes                                                           
lts__t_sectors_aperture_device_op_write_lookup_miss                         # of LTS sectors accessing device memory (vidmem) for writes that missed                            
l1tex__t_set_conflicts_pipe_tex_mem_texture_op_tex                          # of extra cycles spent on set conflicts for TEX instructions                                       
lts__t_sectors_srcunit_l1_op_atom_dot_alu_lookup_miss                       # of LTS sectors from unit L1 for atomic ALU (non-CAS) that missed                                  
smsp__inst_executed_pipe_fp64_pred_off_all                                  # of warp instructions executed by fp64 with all threads predicated off                             
gpu__cycles_in_region                                                       # of cycles in user-defined region                                                                  
l1tex__t_sectors                                                            # of sectors requested                                                                              
dram__bytes                                                                 # of bytes accessed in DRAM                                                                         
l1tex__t_requests_pipe_lsu_mem_local_op_st                                  # of requests sent to T-Stage for local stores                                                      
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_red                           # of bytes written to L2# of sectors written to L2 for global reductions                            
l1tex__cycles_active                                                        # of cycles where L1TEX was active                                                                  
gr__cycles_elapsed                                                          # of cycles elapsed on GR                                                                           
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that hit            
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_hit                 # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that hit                   
l1tex__t_set_accesses_pipe_tex_mem_surface_op_atom                          # of cache set accesses for surface atomics                                                         
lts__t_sectors_aperture_device_lookup_hit                                   # of LTS sectors accessing device memory (vidmem) that hit                                          
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_st                            # of extra cycles spent on set conflicts for global stores                                          
lts__t_sectors_srcunit_tex_op_red_lookup_miss                               # of LTS sectors from unit TEX for reductions that missed                                           
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit         # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that hit              
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_write                        # of shared write wavefronts processed by Data-Stage                                                
lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_miss                # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that missed          
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_atom                 # of sectors requested for surface atomics                                                          
fbpa__cycles_elapsed                                                        # of cycles elapsed on FBPA                                                                         
lts__t_requests_srcunit_tex                                                 # of LTS requests from unit TEX                                                                     
smsp__sass_thread_inst_executed_op_fp32_pred_on                             # of single-precision floating-point thread instructions executed where all predicates were true    
lts__t_sectors_aperture_peer_op_membar_lookup_miss                          # of LTS sectors accessing peer memory (peermem) for memory barriers that missed                    
lts__t_sectors_aperture_sysmem_op_atom_dot_cas                              # of LTS sectors accessing system memory (sysmem) for atomic CAS                                    
l1tex__texin_requests                                                       # of requests sent to TEXIN                                                                         
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss                      # of LTS sectors from unit TEX accessing system memory (sysmem) that missed                         
l1tex__f_tex2sm_cycles_active                                               # of cycles where texture/surface writeback interface was active                                    
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss            # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that missed     
sm__ctas_active                                                             cumulative # of CTAs in flight                                                                      
lts__t_requests_aperture_device_op_atom                                     # of LTS requests accessing device memory (vidmem) for all atomics                                  
smsp__inst_executed_op_surface_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SUST                          
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read                          # of LTS sectors from unit TEX accessing system memory (sysmem) for reads                           
lts__t_requests_srcunit_tex_op_atom_lookup_hit                              # of LTS requests from unit TEX for all atomics that hit                                            
lts__t_requests_srcunit_tex_op_atom_dot_cas                                 # of LTS requests from unit TEX for atomic CAS                                                      
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss                       # of bytes requested that missed for surface stores                                                 
lts__t_requests_aperture_peer_op_red_lookup_miss                            # of LTS requests accessing peer memory (peermem) for reductions that missed                        
l1tex__f_tex2sm_cycles_stalled                                              # of cycles where interface carrying return data from L1TEX F-Stage back to SM was stalled          
l1tex__cycles_in_region                                                     # of cycles in user-defined region                                                                  
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss                    # of sector requests to T-Stage that missed for global atomics                                      
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom                        # of sectors read from L2 into L1TEX M-Stage for surface atomics                                    
lts__t_requests_op_atom_lookup_hit                                          # of LTS requests for all atomics that hit                                                          
lts__t_requests_srcunit_l1_aperture_sysmem_lookup_miss                      # of LTS requests from unit L1 accessing system memory (sysmem) that missed                         
lts__t_sectors_equiv_l1tagmiss_pipe_lsu                                     # of sectors requested for LSU pipe local/global                                                    
lts__t_sectors_srcunit_l1_lookup_miss                                       # of LTS sectors from unit L1 that missed                                                           
smsp__inst_executed                                                         # of warp instructions executed                                                                     
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit       # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that hit   
l1tex__t_requests_pipe_tex_mem_texture_op_ld                                # of requests sent to T-Stage from the TEX pipe for TLD instructions                                
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit                       # of bytes requested with tag-hit and data-hit for global atomics                                   
l1tex__cycles_elapsed                                                       # of cycles elapsed on L1TEX                                                                        
lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that missed        
lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_hit              # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that hit         
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for reads that hit                  
lts__t_sectors_srcunit_tex_op_read_lookup_hit                               # of LTS sectors from unit TEX for reads that hit                                                   
l1tex__data_pipe_lsu_wavefronts                                             # of local/global/shared wavefronts processed by Data-Stage                                         
lts__t_requests_srcunit_l1_op_red_lookup_miss                               # of LTS requests from unit L1 for reductions that missed                                           
lts__t_requests_aperture_sysmem_op_atom_dot_cas                             # of LTS requests accessing system memory (sysmem) for atomic CAS                                   
lts__t_sectors_op_atom_dot_cas                                              # of LTS sectors for atomic CAS                                                                     
smsp__warps_launched_total                                                  # of warps launched including warps restored from pre-emption                                       
l1tex__t_sectors_pipe_lsu_mem_local_op_st                                   # of sectors requested for local stores                                                             
lts__t_requests_op_write_lookup_hit                                         # of LTS requests for writes that hit                                                               
lts__t_sectors_srcunit_tex_aperture_peer_op_write                           # of LTS sectors from unit TEX accessing peer memory (peermem) for writes                           
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_cas                  # of LTS requests from unit L1 accessing system memory (sysmem) for atomic CAS                      
sm__inst_executed_pipe_cbu_pred_off_all                                     # of warp instructions executed by cbu pipe with all threads predicated off                         
lts__t_requests_aperture_sysmem_op_membar_lookup_miss                       # of LTS requests accessing system memory (sysmem) for memory barriers that missed                  
lts__t_sectors_aperture_sysmem_op_atom_lookup_miss                          # of LTS sectors accessing system memory (sysmem) for all atomics that missed                       
l1tex__t_sectors_pipe_lsu_lookup_miss                                       # of sector requests to T-Stage that missed for LSU pipe local/global                               
smsp__issue_inst1                                                           # of active cycles where 1 instruction was issued                                                   
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red                         # of sectors written to L2 for global reductions                                                    
smsp__sass_thread_inst_executed                                             # of thread instructions executed                                                                   
sm__mio_pq_write_cycles_active_pipe_lsu                                     # of cycles where register operands from the register file were written to MIO PQ, for the lsu pipe 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that hit              
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_miss                # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that missed           
smsp__cycles_elapsed                                                        # of cycles elapsed on SMSP                                                                         
lts__t_sectors_aperture_peer_lookup_miss                                    # of LTS sectors accessing peer memory (peermem) that missed                                        
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit                        # of sector requests to T-Stage with tag-hit and data-hit for local loads                           
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit               # of LTS sectors from unit TEX accessing device memory (vidmem) for reads that hit                  
l1tex__t_texels                                                             # of valid texel queries at L1TEX T-Stage                                                           
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_hit                          # of bytes requested with tag-hit and data-hit for local loads                                      
l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss                           # of sector requests to T-Stage that missed for texture                                             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss                # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that missed          
lts__t_requests_srcunit_l1_aperture_sysmem_lookup_hit                       # of LTS requests from unit L1 accessing system memory (sysmem) that hit                            
l1tex__t_bytes_pipe_lsu_mem_global_op_red                                   # of bytes requested for global reductions                                                          
lts__t_requests_aperture_device_op_membar_lookup_hit                        # of LTS requests accessing device memory (vidmem) for memory barriers that hit                     
lts__t_requests_aperture_device_op_read                                     # of LTS requests accessing device memory (vidmem) for reads                                        
lts__t_requests_srcunit_tex_op_write                                        # of LTS requests from unit TEX for writes                                                          
l1tex__t_bytes_pipe_tex_mem_texture_lookup_hit                              # of bytes requested with tag-hit and data-hit for texture                                          
lts__t_requests_aperture_device_op_write_lookup_hit                         # of LTS requests accessing device memory (vidmem) for writes that hit                              
smsp__warps_issue_stalled_short_scoreboard                                  cumulative # of warps waiting for a scoreboard dependency on MIO operation other than (local,       
                                                                            global, surface, tex)                                                                               
sm__mio2rf_writeback_active                                                 # of cycles where the MIO to register file writeback interface was active                           
lts__t_sectors_srcunit_tex_op_write                                         # of LTS sectors from unit TEX for writes                                                           
l1tex__t_bytes                                                              # of bytes requested                                                                                
lts__t_sectors_srcunit_tex_aperture_peer_op_red                             # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions                       
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar                       # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers                
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_ld                    # of sectors requested for global loads                                                             
sm__issue_active                                                            # of cycles where an SMSP issued an instruction                                                     
l1tex__t_sectors_pipe_tex_mem_texture_op_ld                                 # of sectors requested for TLD instructions                                                         
sys__cycles_active                                                          # of cycles where SYS was active                                                                    
lts__t_requests_srcunit_tex_aperture_peer_op_atom_lookup_hit                # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics that hit            
l1tex__t_requests_pipe_tex_mem_surface_op_st                                # of requests sent to T-Stage for surface stores                                                    
lts__t_sectors_srcunit_tex_aperture_device_op_red                           # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions                      
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_miss       # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that missed 
lts__t_sectors_srcunit_tex_op_red_lookup_hit                                # of LTS sectors from unit TEX for reductions that hit                                              
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld                          # of sectors read from L2 into L1TEX M-Stage for surface loads                                      
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS                       
sm__ctas_restored                                                           # of CTA preemption-restore events                                                                  
l1tex__t_sectors_pipe_tex_mem_surface_lookup_hit                            # of sector requests to T-Stage with tag-hit and data-hit for surface                               
gr__cycles_in_frame                                                         # of cycles in user-defined frame                                                                   
lts__t_sectors_srcunit_tex_op_atom_lookup_hit                               # of LTS sectors from unit TEX for all atomics that hit                                             
sm__inst_executed_pipe_lsu                                                  # of warp instructions executed by lsu pipe                                                         
tpc__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
lts__t_requests_srcunit_tex_lookup_hit                                      # of LTS requests from unit TEX that hit                                                            
smsp__inst_executed_op_shared_atom_dot_cas_pred_on_any                      # of warp instructions executed with at least 1 thread predicated on: ATOMS.CAS                     
lts__t_requests_srcunit_tex_aperture_peer_op_red                            # of LTS requests from unit TEX accessing peer memory (peermem) for reductions                      
smsp__inst_executed_op_surface_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: SULD                               
smsp__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on                  # of HADD, HMUL and HFMA thread instructions executed where all predicates were true                
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_miss                       # of bytes requested that missed for global reductions                                              
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_hit                  # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that hit              
l1tex__texin_requests_mem_surface_op_null                                   # of requests sent to TEXIN for null surface instructions                                           
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_miss       # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that missed 
fbpa__dram_cycles_elapsed                                                   # of cycles elapsed on DRAM                                                                         
smsp__warps_active                                                          cumulative # of active warps                                                                        
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit                # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that hit             
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_tex                  # of sectors requested for TEX instructions                                                         
smsp__sass_inst_executed_op_global_atom                                     # of warp instructions executed: ATOM, ATOMG, RED                                                   
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld                   # of bytes requested for global loads                                                               
sm__pipe_fp64_cycles_active                                                 # of cycles where fp64 pipe was active                                                              
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for reads that hit                  
smsp__sass_thread_inst_executed_op_bit_pred_on                              # of bit thread instructions executed where all predicates were true                                
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_miss       # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that missed           
sm__inst_executed_pipe_tensor_op_hmma                                       # of warp instructions executed by tensor_op_hmma pipe                                              
lts__t_requests_srcunit_l1_aperture_sysmem_op_red                           # of LTS requests from unit L1 accessing system memory (sysmem) for reductions                     
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss              # of LTS sectors from unit TEX accessing system memory (sysmem) for reads that missed              
l1tex__t_sectors_pipe_tex_mem_surface_op_st                                 # of sectors requested for surface stores                                                          
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_miss               # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that missed      
lts__t_requests_aperture_sysmem_op_write_lookup_hit                         # of LTS requests accessing system memory (sysmem) for writes that hit                             
gpc__cycles_active                                                          # of cycles where GPC was active                                                                   
lts__t_tag_requests_hit                                                     # of LTS requests with tag hit                                                                     
lts__t_sectors_srcunit_l1_aperture_device                                   # of LTS sectors from unit L1 accessing device memory (vidmem)                                     
sm__inst_executed_pipe_cbu                                                  # of warp instructions executed by cbu pipe                                                        
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_cas                 # of LTS requests from unit TEX accessing system memory (sysmem) for atomic CAS                    
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture                        # of bytes requested for texture                                                                   
smsp__inst_executed_op_surface_atom_dot_cas_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: SUATOM.CAS                   
l1tex__t_requests_pipe_tex_mem_texture                                      # of requests sent to T-Stage from the L1TEX X-Stage for textures                                  
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_hit                        # of LTS sectors from unit L1 for atomic CAS that hit                                              
l1tex__t_sectors_pipe_lsu_mem_global_op_st                                  # of sectors requested for global stores                                                           
l1tex__texin_cycles_stalled_on_tsl1_miss                                    # of cycles where TEXIN was stalled on TSL1 cache miss, requesting texture or sampler header       
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface                        # of bytes requested for surface                                                                   
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that hit            
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_atom                 # of bytes requested for global atomics                                                            
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_hit              # of LTS requests from unit L1 accessing device memory (vidmem) for writes that hit                
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_hit                        # of bytes requested with tag-hit and data-hit for surface stores                                  
lts__t_sectors_srcunit_tex_op_membar_lookup_hit                             # of LTS sectors from unit TEX for memory barriers that hit                                        
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss        # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that missed
smsp__sass_thread_inst_executed_op_dfma_pred_on                             # of DFMA thread instructions executed where all predicates were true                              
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that missed          
smsp__inst_executed_op_ldc                                                  # of warp instructions executed: LDC                                                               
lts__t_requests_srcunit_l1_lookup_miss                                      # of LTS requests from unit L1 that missed                                                         
lts__t_requests_srcunit_tex_op_write_lookup_hit                             # of LTS requests from unit TEX for writes that hit                                                
lts__t_sectors_srcunit_tex_op_write_lookup_miss                             # of LTS sectors from unit TEX for writes that missed                                              
smsp__pipe_alu_cycles_active                                                # of cycles where alu pipe was active                                                              
smsp__inst_executed_pipe_tensor_op_hmma                                     # of warp instructions executed by tensor_op_hmma pipe                                             
sm__pipe_tensor_op_hmma_cycles_active                                       # of cycles where HMMA tensor pipe was active                                                      
l1tex__t_sectors_pipe_tex_mem_texture                                       # of sectors requested for texture                                                                 
lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_miss             # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that missed     
lts__t_sectors_op_read_lookup_miss                                          # of LTS sectors for reads that missed                                                             
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_hit              # of LTS requests from unit L1 accessing system memory (sysmem) for writes that hit                
smsp__inst_executed_op_generic_atom                                         # of warp instructions executed: ATOM.*                                                            
l1tex__t_set_accesses_pipe_tex_mem_surface_op_st                            # of cache set accesses for surface stores                                                         
lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_hit               # of LTS sectors from unit L1 accessing device memory (vidmem) for writes that hit                 
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface                         # of sectors requested for surface                                                                 
fe__cycles_in_region                                                        # of cycles in user-defined region                                                                 
l1tex__data_bank_conflicts_pipe_lsu                                         # of data bank conflicts generated by LSU pipe                                                     
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that missed 
