Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
sm__warps_active                                                            cumulative # of warps in flight                                                                     
l1tex__t_set_accesses_pipe_tex_mem_texture                                  # of cache set accesses for texture                                                                 
smsp__sass_thread_inst_executed_op_inter_thread_communication_pred_on       # of inter-thread communication thread instructions executed where all predicates were true         
lts__t_sectors_op_atom_dot_alu_lookup_miss                                  # of LTS sectors for atomic ALU (non-CAS) that missed                                               
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red                           # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions                      
lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_cas                 # of LTS requests from unit TEX accessing device memory (vidmem) for atomic CAS                     
smsp__inst_executed_op_shared_ld                                            # of warp instructions executed: LDS                                                                
lts__t_requests_srcunit_tex_op_read_lookup_miss                             # of LTS requests from unit TEX for reads that missed                                               
smsp__sass_thread_inst_executed_op_fp64_pred_on                             # of double-precision floating-point thread instructions executed where all predicates were true    
lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_miss                # of LTS requests from unit TEX accessing peer memory (peermem) for reductions that missed          
gpu__time_end                                                               end timestamp, relative to start of frame                                                           
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                            # of STS wavefronts processed by Data-Stage                                                         
smsp__warps_issue_stalled_tex_throttle                                      cumulative # of warps waiting for a free entry in the TEX instruction queue                         
sm__cycles_elapsed                                                          # of cycles elapsed on SM                                                                           
lts__t_sectors_srcunit_l1_aperture_peer_op_membar                           # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers                   
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_hit                # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that hit          
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red                       # of data bank conflicts generated by global reductions                                             
lts__t_requests_aperture_device                                             # of LTS requests accessing device memory (vidmem)                                                  
lts__t_requests_srcunit_tex_op_membar                                       # of LTS requests from unit TEX for memory barriers                                                 
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld                    # of bytes requested for local loads                                                                
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_atom                          # of bytes written to L2# of sectors written to L2 for global atomics                               
l1tex__t_set_conflicts_pipe_lsu_mem_local_op_st                             # of extra cycles spent on set conflicts for local stores                                           
lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_hit                   # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that hit               
l1tex__data_pipe_tex_wavefronts_mem_surface                                 # of surface wavefronts processed by Data-Stage                                                     
dram__sectors                                                               # of sectors accessed in DRAM                                                                       
lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_miss             # of LTS requests from unit TEX accessing system memory (sysmem) for reads that missed              
lts__t_requests_aperture_device_op_membar                                   # of LTS requests accessing device memory (vidmem) for memory barriers                              
l1tex__lsu_writeback_active                                                 # of cycles where local/global/shared writeback interface was active                                
l1tex__t_output_wavefronts                                                  # of wavefronts sent to Data-Stage from T-Stage                                                     
l1tex__t_sectors_lookup_miss                                                # of sector requests to T-Stage that missed                                                         
lts__t_requests_srcunit_tex_op_read_lookup_hit                              # of LTS requests from unit TEX for reads that hit                                                  
smsp__inst_executed_pipe_fp64                                               # of warp instructions executed by fp64 pipe                                                        
l1tex__texin_sm2tex_req_cycles_active                                       # of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was active               
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)             
lts__t_requests_aperture_device_lookup_miss                                 # of LTS requests accessing device memory (vidmem) that missed                                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_miss             # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that missed        
